Video,Arena,Sequence,Individual,Group,REP,Beginning_seq,End_seq,Prop_time_lost,Smoothing_filter_window,Smoothing_Polyorder,Moving_threshold,Prop_time_moving,Average_Speed,Average_Speed_Moving,Traveled_Dist,Meander,Traveled_Dist_Moving,Meander_moving,Exploration_absolute_value,Exploration_relative_value,Exploration_method,Exploration_area,Exploration_aspect_param,Mean_nb_neighbours,Prop_time_with_at_least_one_neighbour,Mean_shortest_interind_distance,Mean_sum_interind_distances
REP_4.avi,2,5_min,DEL_4,DEL,4,239.98,298.99,0,15,2,0.28,0.9860058309,4.102476367,4.158078934,242.2444212,268.2029452,242.0917049,146.9177965,31.08668359,0.5797898326,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,3,General,CTR_4,CTR,4,0,299.99,0,15,2,0.28,0.9916217147,3.659057607,3.688370635,1097.692085,221.5080416,1097.215338,105.579105,42.64840421,0.7867239625,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,3,1_min,CTR_4,CTR,4,0,59.98,0,15,2,0.28,0.9954075775,3.982091272,3.999487835,238.8377288,159.0970604,238.7795037,125.3593348,18.60096159,0.3431270753,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,3,2_min,CTR_4,CTR,4,59.98,119.99,0,15,2,0.28,0.998853211,4.426809137,4.431600683,265.8158358,86.51772379,265.7983883,78.26230712,28.76107576,0.5305480452,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,3,3_min,CTR_4,CTR,4,119.99,179.97,0,15,2,0.28,0.9982788296,3.791669422,3.797955996,227.547163,122.3302117,227.5321386,85.84075813,21.63433888,0.3990829932,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,3,4_min,CTR_4,CTR,4,179.97,239.98,0,15,2,0.28,0.9845183486,2.808153009,2.849227785,168.6206737,351.9449797,168.4383731,111.6441006,15.18360543,0.2800879998,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,3,5_min,CTR_4,CTR,4,239.98,298.99,0,15,2,0.28,0.9807580175,3.258615758,3.319029921,192.4158527,393.6801934,192.2121032,129.4490794,31.36366109,0.5785572564,Modern,0.2,NA,NA,NA,NA,NA
REP_5.avi,0,General,CTR_5,CTR,5,0,299.97,0.1350760018,15,2,0.28,0.7199785321,2.624157098,3.615589351,675.6665118,26164.5596,670.2567697,310.7166652,44.50699566,0.7936911778,Modern,0.2,NA,NA,NA,NA,NA
REP_5.avi,0,1_min,CTR_5,CTR,5,0,59.97,0,15,2,0.28,0.9867511521,3.733230664,3.78044715,223.8958209,380.262891,223.7236913,241.1017076,29.90799666,0.5333479095,Modern,0.2,NA,NA,NA,NA,NA
REP_5.avi,0,2_min,CTR_5,CTR,5,59.97,119.98,0,15,2,0.28,0.9689298044,2.812233047,2.897811493,168.8544544,1192.221719,168.586836,287.478576,19.59295342,0.3494002246,Modern,0.2,NA,NA,NA,NA,NA
REP_5.avi,0,3_min,CTR_5,CTR,5,119.98,179.99,0.01093210587,15,2,0.28,0.8794408853,3.154405195,3.571822053,187.1109556,7140.727182,186.3280349,314.1101449,30.83924293,0.5499547808,Modern,0.2,NA,NA,NA,NA,NA
