Tratamento,REP,Comportamento,Tempo,Observador,Tempo_segundos,Comportamento_2,Tempo_vagner,Tempo_segundos_vagner
COM,REP_7,Movimento_circular,,tef,0,Movimento_circular,,0
COM,REP_7,Observação ,,tef,0,Observação ,,0
IMI,REP_7,Repouso,1:21:00,tef,81,Repouso,,0
IMI,REP_7,Exploracao,3:02:00,tef,182,Exploracao,,0
IMI,REP_7,Tentativa_voo,,tef,0,Tentativa_voo,00:00:00,0
IMI,REP_7,Limpeza,1:51:00,tef,111,Limpeza,02:03:00,123
IMI,REP_7,Movimento_circular,0:43:00,tef,43,Movimento_circular,,0
IMI,REP_7,Observação ,Limpeza andando,tef,#VALUE!,Observação ,,0
DEL,REP_8,Repouso,,tef,0,Repouso,,0
DEL,REP_8,Exploracao,0:55:00,tef,55,Exploracao,,0
DEL,REP_8,Tentativa_voo,,tef,0,Tentativa_voo,00:00:00,0
DEL,REP_8,Limpeza,,tef,0,Limpeza,00:04:50,4
DEL,REP_8,Movimento_circular,4:02:00,tef,242,Movimento_circular,,0
DEL,REP_8,Observação ,,tef,0,Observação ,,0
CTR,REP_8,Repouso,3:58:00,tef,238,Repouso,,0
CTR,REP_8,Exploracao,0:43:00,tef,43,Exploracao,,0
CTR,REP_8,Tentativa_voo,1:30:00,tef,90,Tentativa_voo,,159
CTR,REP_8,Limpeza,3:01:00,tef,181,Limpeza,00:43:50,43
CTR,REP_8,Movimento_circular,0:01:00,tef,1,Movimento_circular,,0
CTR,REP_8,Observação ,,tef,0,Observação ,,0
COM,REP_8,Repouso,0:26:00,tef,26,Repouso,,0
COM,REP_8,Exploracao,2:53:00,tef,173,Exploracao,,0
COM,REP_8,Tentativa_voo,,tef,0,Tentativa_voo,00:01:50,1
COM,REP_8,Limpeza,0:40:00,tef,40,Limpeza,,121.5
COM,REP_8,Movimento_circular,1:31:00,tef,91,Movimento_circular,,0
COM,REP_8,Observação ,,tef,0,Observação ,,0
IMI,REP_8,Repouso,0:40:00,tef,40,Repouso,,0
IMI,REP_8,Exploracao,4:10:00,tef,250,Exploracao,,0
IMI,REP_8,Tentativa_voo,0:40:00,tef,40,Tentativa_voo,,67.5
IMI,REP_8,Limpeza,1:38:00,tef,98,Limpeza,,108
IMI,REP_8,Movimento_circular,,tef,0,Movimento_circular,,0
IMI,REP_8,Observação ,Limpeza em movimento,tef,#VALUE!,Observação ,,0
DEL,REP_9,Repouso,,tef,0,Repouso,,0
DEL,REP_9,Exploracao,0:39:00,tef,39,Exploracao,,0
DEL,REP_9,Tentativa_voo,4:01:00,tef,241,Tentativa_voo,,43.5
DEL,REP_9,Limpeza,,tef,0,Limpeza,,15.5
DEL,REP_9,Movimento_circular,4:22:00,tef,262,Movimento_circular,,0
DEL,REP_9,Observação ,,tef,0,Observação ,,0
